seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	860687	860696	10	*	X00001	148398	860530	879961	19432	+	0	inside	156	SAMD11
chr1	936229	936238	10	*	X00012	57801	934342	935552	1211	-	676	upstream	676	HES4
chr1	948829	948837	9	*	X00013	9636	948847	949919	1073	+	9	upstream	9	ISG15
chr1	1242037	1242051	15	*	X00024	126789	1243994	1247057	3064	+	1942	upstream	1942	PUSL1
chr1	1242190	1242198	9	*	X00025	126789	1243994	1247057	3064	+	1795	upstream	1795	PUSL1
chr1	1242262	1242274	13	*	X00026	126789	1243994	1247057	3064	+	1719	upstream	1719	PUSL1
chr1	1242527	1242536	10	*	X00027	126789	1243994	1247057	3064	+	1457	upstream	1457	PUSL1
chr1	1242607	1242616	10	*	X00028	126789	1243994	1247057	3064	+	1377	upstream	1377	PUSL1
chr1	1242921	1242930	10	*	X00029	126789	1243994	1247057	3064	+	1063	upstream	1063	PUSL1
chr1	1243964	1243974	11	*	X00030	126789	1243994	1247057	3064	+	19	upstream	19	PUSL1
chr1	1244051	1244062	12	*	X00031	126789	1243994	1247057	3064	+	0	inside	56	PUSL1
chr1	1342633	1342642	10	*	X00033	55052	1337276	1342693	5418	-	0	inside	50	MRPL20
chr1	1370845	1370861	17	*	X00035	64856	1370903	1378262	7360	+	41	upstream	41	VWA1
chr1	1370864	1370875	12	*	X00036	64856	1370903	1378262	7360	+	27	upstream	27	VWA1
chr1	1370949	1370957	9	*	X00037	64856	1370903	1378262	7360	+	0	inside	45	VWA1
chr1	1407097	1407106	10	*	X00038	83858	1407164	1444689	37526	+	57	upstream	57	ATAD3B
chr1	1447481	1447490	10	*	X00039	55210	1447523	1470067	22545	+	32	upstream	32	ATAD3A
chr1	1476354	1476364	11	*	X00042	339453	1470158	1475740	5583	-	613	upstream	613	TMEM240
chr1	1822606	1822616	11	*	X00049	2782	1716725	1822526	105802	-	79	upstream	79	GNB1
chr1	1850857	1850865	9	*	X00050	339456	1849029	1850740	1712	-	116	upstream	116	TMEM52
chr1	2984252	2984260	9	*	X00103	440556	2976181	2984289	8109	-	0	inside	28	PRDM16-DT
chr1	2984252	2984260	9	*	X00103	63976	2985742	3355185	369444	+	1481	upstream	1481	PRDM16
chr1	2985301	2985309	9	*	X00104	440556	2976181	2984289	8109	-	1011	upstream	1011	PRDM16-DT
chr1	2985301	2985309	9	*	X00104	63976	2985742	3355185	369444	+	432	upstream	432	PRDM16
chr1	3567006	3567015	10	*	X00110	49856	3547331	3566671	19341	-	334	upstream	334	WRAP73
chr1	3567711	3567721	11	*	X00111	49856	3547331	3566671	19341	-	1039	upstream	1039	WRAP73
chr1	3567711	3567721	11	*	X00111	7161	3569129	3652765	83637	+	1407	upstream	1407	TP73
chr1	3773790	3773800	11	*	X00114	1677	3773845	3801993	28149	+	44	upstream	44	DFFB
chr1	3773790	3773800	11	*	X00114	9731	3728645	3773797	45153	-	0	overlapStart	0	CEP104
chr1	3815194	3815204	11	*	X00115	100133612	3816968	3833879	16912	+	1763	upstream	1763	LINC01134
chr1	6051652	6051660	9	*	X00119	8514	6052358	6161253	108896	+	697	upstream	697	KCNAB2
chr1	6053479	6053487	9	*	X00120	261734	5922870	6052533	129664	-	945	upstream	945	NPHP4
chr1	6260505	6260513	9	*	X00123	6146	6245080	6259679	14600	-	825	upstream	825	RPL22
chr1	6322077	6322082	6	*	X00128	387509	6307406	6321035	13630	-	1041	upstream	1041	GPR153
chr1	6454198	6454206	9	*	X00129	11332	6324332	6453826	129495	-	371	upstream	371	ACOT7
chr1	6762243	6762252	10	*	X00139	55735	6694228	6761966	67739	-	276	upstream	276	DNAJC11
chr1	8021752	8021764	13	*	X00151	11315	8021714	8045342	23629	+	0	inside	37	PARK7
chr1	8938332	8938340	9	*	X00162	100505975	8938894	8939943	1050	+	553	upstream	553	ENO1-AS1
chr1	8938432	8938440	9	*	X00163	100505975	8938894	8939943	1050	+	453	upstream	453	ENO1-AS1
chr1	9189135	9189143	9	*	X00164	80045	9164476	9189229	24754	-	0	inside	85	GPR157
chr1	9294419	9294427	9	*	X00167	9563	9294863	9331394	36532	+	435	upstream	435	H6PD
chr1	9294983	9294991	9	*	X00168	9563	9294863	9331394	36532	+	0	inside	119	H6PD
chr1	9599618	9599626	9	*	X00176	84275	9599528	9642831	43304	+	0	inside	89	SLC25A33
chr1	9884726	9884734	9	*	X00182	22883	9789079	9884550	95472	-	175	upstream	175	CLSTN1
chr1	9884950	9884959	10	*	X00183	22883	9789079	9884550	95472	-	399	upstream	399	CLSTN1
chr1	10003456	10003464	9	*	X00184	64802	10003486	10045556	42071	+	21	upstream	21	NMNAT1
chr1	10003456	10003464	9	*	X00184	84328	9989776	10003427	13652	-	28	upstream	28	LZIC
chr1	10490250	10490261	12	*	X00189	100526739	10490159	10512060	21902	+	0	inside	90	CENPS-CORT
chr1	10490250	10490261	12	*	X00189	378708	10490159	10502872	12714	+	0	inside	90	CENPS
chr1	10532842	10532850	9	*	X00190	1676	10520603	10532613	12011	-	228	upstream	228	DFFA
chr1	10856669	10856678	10	*	X00197	54897	10696666	10856733	160068	-	0	inside	54	CASZ1
chr1	10856914	10856925	12	*	X00198	54897	10696666	10856733	160068	-	180	upstream	180	CASZ1
chr1	11159943	11159953	11	*	X00199	5394	11126676	11159938	33263	-	4	upstream	4	EXOSC10
chr1	11715947	11715956	10	*	X00206	26232	11708418	11714888	6471	-	1058	upstream	1058	FBXO2
chr1	11750988	11751004	17	*	X00207	374946	11751781	11780336	28556	+	776	upstream	776	DRAXIN
chr1	11751007	11751018	12	*	X00208	374946	11751781	11780336	28556	+	762	upstream	762	DRAXIN
chr1	11986790	11986805	16	*	X00213	90231	11979645	11986485	6841	-	304	upstream	304	KIAA2013
chr1	12123551	12123559	9	*	X00215	943	12123434	12204264	80831	+	0	inside	116	TNFRSF8
chr1	12677748	12677759	12	*	X00221	9249	12627939	12677820	49882	-	0	inside	60	DHRS3
chr1	13840006	13840014	9	*	X00222	126755	13801445	13840242	38798	-	0	inside	227	LRRC38
chr1	14924582	14924590	9	*	X00227	23254	14925213	15444544	519332	+	622	upstream	622	KAZN
chr1	15479887	15479915	29	*	X00228	200197	15438311	15478960	40650	-	926	upstream	926	TMEM51-AS1
chr1	15480903	15480912	10	*	X00229	200197	15438311	15478960	40650	-	1942	upstream	1942	TMEM51-AS1
chr1	15480915	15480924	10	*	X00230	200197	15438311	15478960	40650	-	1954	upstream	1954	TMEM51-AS1
chr1	15736291	15736300	10	*	X00232	79180	15736391	15756839	20449	+	90	upstream	90	EFHD2
chr1	15911544	15911554	11	*	X00235	79814	15898194	15911605	13412	-	0	inside	50	AGMAT
chr1	16174141	16174151	11	*	X00242	23013	16174359	16266950	92592	+	207	upstream	207	SPEN
chr1	16400793	16400801	9	*	X00246	348487	16384264	16400127	15864	-	665	upstream	665	FAM131C
chr1	16400880	16400892	13	*	X00247	348487	16384264	16400127	15864	-	752	upstream	752	FAM131C
chr1	16400994	16401015	22	*	X00248	348487	16384264	16400127	15864	-	866	upstream	866	FAM131C
chr1	16679007	16679017	11	*	X00252	54455	16576559	16678948	102390	-	58	upstream	58	FBXO42
chr1	16971219	16971228	10	*	X00257	11209	16972069	16976915	4847	+	840	upstream	840	MST1P2
chr1	16971219	16971228	10	*	X00257	84809	16944751	16971178	26428	-	40	upstream	40	CROCCP2
chr1	16971250	16971261	12	*	X00258	11209	16972069	16976915	4847	+	807	upstream	807	MST1P2
chr1	16971250	16971261	12	*	X00258	84809	16944751	16971178	26428	-	71	upstream	71	CROCCP2
chr1	17766271	17766279	9	*	X00263	55920	17733251	17766250	33000	-	20	upstream	20	RCC2
chr1	18433479	18433513	35	*	X00265	84966	18434240	18704977	270738	+	726	upstream	726	IGSF21
chr1	18433516	18433525	10	*	X00266	84966	18434240	18704977	270738	+	714	upstream	714	IGSF21
chr1	19812442	19812451	10	*	X00281	832	19665267	19812066	146800	-	375	upstream	375	CAPZB
